precision,recall,threshold
0.025952268691752857,1.0,0.0003398314385536455
0.025952529042354688,1.0,0.00034013063718411505
0.025952789398180194,1.0,0.0003403654934358209
0.025953049759229536,1.0,0.00034163889523283584
0.025953310125502865,1.0,0.0003424949837619396
0.025953570497000342,1.0,0.00034300158496638274
0.025953830873722123,1.0,0.00034339074471196213
0.025954091255668367,1.0,0.00034341702577689895
0.025954612035234866,1.0,0.000344437187099092
0.025954872432855436,1.0,0.0003446908571188206
0.0259551328357011,1.0,0.0003450702625577821
0.02595539324377201,1.0,0.00034512641534015004
0.025957476696467092,1.0,0.00034570993246343934
0.025957737151572315,1.0,0.0003463219720337324
0.025957997611904357,1.0,0.0003477562697265079
0.025958258077463374,1.0,0.000347822027193979
0.025959039505503878,1.0,0.0003481350754546788
0.025959299991972384,1.0,0.00034815463779092596
0.025959560483668657,1.0,0.0003482908389776169
0.025960602502734544,1.0,0.00034839602739957876
0.02596112354363817,1.0,0.00034843844687895334
0.025961644605457263,1.0,0.000348982046060309
0.025961905144210505,1.0,0.0003497727587425034
0.025962165688193085,1.0,0.00035011368827517274
0.025962426237405162,1.0,0.0003501204689250717
0.025962947351518436,1.0,0.0003504302390863471
0.02596320791641995,1.0,0.0003504895219616817
0.025963468486551587,1.0,0.00035074112810794386
0.02596398964250587,1.0,0.00035138263033394906
0.025964250228328833,1.0,0.0003515318801271385
0.02596451081938255,1.0,0.0003520605658761034
0.025964771415667186,1.0,0.00035212017650396166
0.02596503201718289,1.0,0.0003521981142159685
0.025965292623929822,1.0,0.0003525657856929315
0.025965553235908143,1.0,0.00035274793167062134
0.025965813853118004,1.0,0.0003528532401444652
0.025966335103232995,1.0,0.0003529845997293236
0.025966595736138433,1.0,0.0003545029950560535
0.02596685637427605,1.0,0.0003545359917798411
0.025967117017645997,1.0,0.0003545699472659582
0.02596737766624843,1.0,0.00035464518737206134
0.025967638320083513,1.0,0.0003559505369664556
0.025967898979151402,1.0,0.00035602941909246397
0.02596815964345225,1.0,0.0003562293199288298
0.02596842031298622,1.0,0.00035693359512420413
0.025968680987753463,1.0,0.0003573187551182785
0.025968941667754143,1.0,0.0003577088258901639
0.025969202352988417,1.0,0.0003586658933395423
0.025969463043456438,1.0,0.0003590085746541175
0.025969723739158367,1.0,0.0003591637831285195
0.025969984440094362,1.0,0.0003592004064618694
0.02597024514626458,1.0,0.00035945656871110763
0.02597050585766918,1.0,0.00035960704859905204
0.025970766574308315,1.0,0.0003608934079600324
0.02597154875563453,1.0,0.0003609397017855011
0.025971809493213396,1.0,0.00036099571347498734
0.02597207023602759,1.0,0.000361002401149355
0.0259728524958837,1.0,0.0003618051762738337
0.025973113259640773,1.0,0.00036215370048464787
0.025973374028633964,1.0,0.0003627188717518441
0.025973634802863424,1.0,0.00036294272839468853
0.025973895582329317,1.0,0.0003634086226393169
0.025974417156971023,1.0,0.00036350106334794203
0.025974677952147154,1.0,0.00036389973657479827
0.025974938752560343,1.0,0.00036391552371291876
0.025975199558210753,1.0,0.0003644161725660018
0.02598041677127793,1.0,0.000364480263623427
0.025980677686946393,1.0,0.0003648093914362191
0.025980938607855542,1.0,0.00036512666349831116
0.025981199534005545,1.0,0.0003652138945350454
0.025981460465396553,1.0,0.00036625190171892197
0.025981721402028722,1.0,0.0003665428261169439
0.02598198234390222,1.0,0.0003669615102064168
0.025982243291017195,1.0,0.0003674170252311868
0.025982504243373807,1.0,0.0003674694547501936
0.02598328713189506,1.0,0.0003678394324314072
0.02598354810521981,1.0,0.00036786184301476843
0.025983809083786988,1.0,0.00036800871060204646
0.02598407006759675,1.0,0.0003680866856527628
0.025984331056649258,1.0,0.00036818218002255545
0.025984592050944666,1.0,0.00036858063761094427
0.025984853050483134,1.0,0.00036886269034616285
0.025985114055264824,1.0,0.0003690682851888477
0.025985375065289886,1.0,0.00036967500291089746
0.025985636080558486,1.0,0.00036996320135723976
0.025985897101070774,1.0,0.00037023186062581784
0.025986158126826916,1.0,0.0003703395265280943
0.025986419157827064,1.0,0.0003703550647943069
0.025986680194071382,1.0,0.0003714825222065128
0.025987463334270905,1.0,0.00037184218435768997
0.025987724391493466,1.0,0.0003719842009769674
0.02598798545396098,1.0,0.00037424781720759985
0.025988246521673614,1.0,0.00037429690901070436
0.02598850759463152,1.0,0.0003744801786305021
0.025988768672834856,1.0,0.000374614102084742
0.02598902975628378,1.0,0.0003747989239480895
0.02598929084497845,1.0,0.00037497107116807077
0.02598955193891903,1.0,0.00037519876530424194
0.02599190202047603,1.0,0.0003753706309447637
0.025992163166884356,1.0,0.0003756087925091367
0.025992424318540326,1.0,0.00037566937853653575
0.025992685475444095,1.0,0.00037584254464633973
0.02599294663759583,1.0,0.0003760781807920314
0.02599320780499568,1.0,0.0003762128623015482
0.02599346897764381,1.0,0.0003765186964647501
0.025993730155540372,1.0,0.00037697343343168405
0.025994252527079438,1.0,0.0003772583646292404
0.02599451372072226,1.0,0.0003775334233160901
0.025994774919614147,1.0,0.0003782132449129694
0.025995036123755262,1.0,0.0003782792700286138
0.02599529733314576,1.0,0.0003784624273654384
